uuid	name	kind	tier	canton	region	latitude	longitude	name_alt	operator_name	website	why_it_matters	top_elevation_m	base_elevation_m	num_runs	num_lifts	total_piste_km	typical_season_open	typical_season_close	note
f12cecf9-def8-43d3-b9df-80f93472f16f	Verbier	RESORT	CORE	VS	CH-4115			Les 4 Vallées	Téléverbier	https://www.verbier.ch		3330	1500	92	34	210	12-01	04-30	
5d64fb14-e65e-4c89-bad0-ffebe0fb8eb4	Nendaz	RESORT	CORE	VS	CH-4115			Les 4 Vallées	NV Remontées Mécaniques SA	https://www.nendaz.ch		3330	1400		82	410	11-01	04-30	Domain-wide 4 Vallées figures, shared with Verbier/Veysonnaz/Thyon
046c746b-d810-4a94-858d-105f311790d0	Veysonnaz	RESORT	STANDARD	VS	CH-4115			Les 4 Vallées	NV Remontées Mécaniques SA	https://www.veysonnaz.ch		3330	1300		82	410	11-01	04-30	Domain-wide 4 Vallées figures, shared with Verbier/Nendaz/Thyon
532151df-47a0-497b-b168-09f975f7d07d	Thyon	RESORT	STANDARD	VS	CH-4115			Les 4 Vallées	Télé-Thyon SA (Téléverbier group)	https://www.thyon.ch		3330	2095		82	410	11-01	04-30	Domain-wide 4 Vallées figures, shared with Verbier/Nendaz/Veysonnaz
763a60e9-caf7-413d-9c0d-d496d0ea040e	Champex	RESORT	STANDARD	VS	CH-4113				TéléLaFouly-ChampexLac SA	https://www.saint-bernard.ch		2194	1468		4	15			Small local area (Champex-Lac); lift co. shared with La Fouly. Season dates not published
422415af-4477-4222-a370-84f3d95eabdf	La Fouly	RESORT	STANDARD	VS	CH-4113				TéléLaFouly-ChampexLac SA	https://www.saint-bernard.ch		2172	1607		4	15	12-20	04-05	Small local area (Val Ferret); lift co. shared with Champex
4d08f6a9-62e6-4e88-9a99-eb335c824256	Haut Val de Bagnes	TOURING_TERRAIN	STANDARD	VS	CH-4116			Mauvoisin											hiking valley with dam (Mauvoisin), no lifts
699f832d-b7d8-457b-98ad-2e234ed23c01	Zermatt	RESORT	CORE	VS	CH-4222			Matterhorn	Zermatt Bergbahnen AG	https://www.matterhornparadise.ch		3899	1620		51	322	11-01	04-30	Combined Zermatt-Cervinia (Matterhorn Paradise) domain; glacier sector near year-round
1f5470a5-1aae-4577-a8dd-31bef8e7a961	Saas-Fee	RESORT	CORE	VS	CH-4223			Saas Valley	Saastal Bergbahnen AG	https://www.saas-fee.ch		3573	1800		23	100	07-15	04-30	Glacier resort; summer glacier skiing in addition to the main winter season
4b88a193-bc01-45e9-ba21-29071da163a2	Saas-Grund	RESORT	STANDARD	VS	CH-4223			Saas Valley	Hohsaas AG (Saastal Bergbahnen group)	https://www.saas-fee.ch		3200	1559		8	26.1	12-15	04-15	Hohsaas area serving Saas-Grund/Saas-Balen
