uuid	name	kind	latitude	longitude	note
0d0a2b6e-3f1f-4a9d-9f5b-1b0f6c2a7d01	Verbier village	VILLAGE	46.09610	7.22860	4 Vallées. Verified: resolves to 1494 m against the resort sheet's base of 1500 m.
0d0a2b6e-3f1f-4a9d-9f5b-1b0f6c2a7d06	Thyon 2000	VILLAGE	46.16970	7.36280	4 Vallées; the base is itself at altitude. Verified: resolves to 2144 m against a sheet base of 2095 m.
0d0a2b6e-3f1f-4a9d-9f5b-1b0f6c2a7d0a	Silvaplana	VILLAGE	46.45830	9.79360	Engadin. Verified: resolves to 1815 m, matching the resort sheet's base exactly.
0d0a2b6e-3f1f-4a9d-9f5b-1b0f6c2a7d0b	Sils-Maria	VILLAGE	46.43000	9.76140	Engadin. Verified: resolves to 1805 m against a sheet base of 1797 m.
1553c077-0ddd-5d27-981a-75eccc73ba47	Abendberg	PEAK	46.62194	7.52491	Summit for Wiriehorn. Sourced from OpenStreetMap node 903411689 (natural=peak, ele=1850 m); resort sheet top_elevation_m=1868 m, delta 18 m; furthest member 3.2 km. Confidence MED — verify placement before relying on it.
c2c19598-4240-5342-b3c5-b58faf169106	Alpoglerberg	PEAK	46.81752	8.09605	Summit for Mörlialp. Sourced from OpenStreetMap node 5338211671 (natural=peak, ele=1842 m); resort sheet top_elevation_m=1837 m, delta 5 m; furthest member 5.4 km. Confidence HIGH — verify placement before relying on it.
1933b474-f870-5fb3-a503-0ec0f62e675b	Bettmergrat	PEAK	46.41792	8.08259	Summit for Bettmeralp. Sourced from OpenStreetMap node 301628267 (natural=peak, ele=2871 m); resort sheet top_elevation_m=2869 m, delta 2 m; furthest member 3.4 km. Confidence HIGH — verify placement before relying on it.
472bc4cb-a6e7-583b-9e56-012561f56ea0	Blasenhubel	PEAK	46.75148	7.94532	Summit for Axalp ob Brienz. Sourced from OpenStreetMap node 394861145 (natural=peak, ele=1940 m); resort sheet top_elevation_m=1959 m, delta 19 m; furthest member 7.6 km. Confidence MED — verify placement before relying on it.
050fb902-93e1-54b0-ab34-6c2e1f1eaf65	Bodezehore	PEAK	46.52680	7.53916	Summit for Engstligenalp. Sourced from OpenStreetMap node 3090123809 (natural=peak, ele=2354 m); resort sheet top_elevation_m=2353 m, delta 1 m; furthest member 8.3 km. Confidence MED — verify placement before relying on it.
a3e9007c-e17f-55db-a0e7-7fde72df0ec8	Bogartenmanndli	PEAK	47.26556	9.42359	Summit for Ebenalp - Wasserauen. Sourced from OpenStreetMap node 3693067023 (natural=peak, ele=1715 m); resort sheet top_elevation_m=1720 m, delta 5 m; furthest member 2.1 km. Confidence HIGH — verify placement before relying on it.
efafb5ee-a73f-5133-8d5a-ae7515e39a55	Büel	PEAK	46.47627	9.54504	Summit for Bivio. Sourced from OpenStreetMap node 9576166707 (natural=peak, ele=2568 m); resort sheet top_elevation_m=2560 m, delta 8 m; furthest member 8.1 km. Confidence MED — verify placement before relying on it.
