uuid	name	name_alt	operator_name	website	top_elevation_m	base_elevation_m	num_runs	num_lifts	total_piste_km	typical_season_open	typical_season_close	note
f12cecf9-def8-43d3-b9df-80f93472f16f	Verbier	Les 4 Vallées	Téléverbier	https://www.verbier.ch	3330	1500	92	34	210	12-01	04-30	
5d64fb14-e65e-4c89-bad0-ffebe0fb8eb4	Nendaz	Les 4 Vallées	NV Remontées Mécaniques SA	https://www.nendaz.ch	3330	1400		82	410	11-01	04-30	Domain-wide 4 Vallées figures, shared with Verbier/Veysonnaz/Thyon
046c746b-d810-4a94-858d-105f311790d0	Veysonnaz	Les 4 Vallées	NV Remontées Mécaniques SA	https://www.veysonnaz.ch	3330	1300		82	410	11-01	04-30	Domain-wide 4 Vallées figures, shared with Verbier/Nendaz/Thyon
532151df-47a0-497b-b168-09f975f7d07d	Thyon	Les 4 Vallées	Télé-Thyon SA (Téléverbier group)	https://www.thyon.ch	3330	2095		82	410	11-01	04-30	Domain-wide 4 Vallées figures, shared with Verbier/Nendaz/Veysonnaz
763a60e9-caf7-413d-9c0d-d496d0ea040e	Champex		TéléLaFouly-ChampexLac SA	https://www.saint-bernard.ch	2194	1468		4	15			Small local area (Champex-Lac); lift co. shared with La Fouly. Season dates not published
422415af-4477-4222-a370-84f3d95eabdf	La Fouly		TéléLaFouly-ChampexLac SA	https://www.saint-bernard.ch	2172	1607		4	15	12-20	04-05	Small local area (Val Ferret); lift co. shared with Champex
4d08f6a9-62e6-4e88-9a99-eb335c824256	Haut Val de Bagnes	Mauvoisin										NOT_A_SKI_RESORT - hiking valley with dam (Mauvoisin), no lifts
699f832d-b7d8-457b-98ad-2e234ed23c01	Zermatt	Matterhorn	Zermatt Bergbahnen AG	https://www.matterhornparadise.ch	3899	1620		51	322	11-01	04-30	Combined Zermatt-Cervinia (Matterhorn Paradise) domain; glacier sector near year-round
1f5470a5-1aae-4577-a8dd-31bef8e7a961	Saas-Fee	Saas Valley	Saastal Bergbahnen AG	https://www.saas-fee.ch	3573	1800		23	100	07-15	04-30	Glacier resort; summer glacier skiing in addition to the main winter season
4b88a193-bc01-45e9-ba21-29071da163a2	Saas-Grund	Saas Valley	Hohsaas AG (Saastal Bergbahnen group)	https://www.saas-fee.ch	3200	1559		8	26.1	12-15	04-15	Hohsaas area serving Saas-Grund/Saas-Balen
cb1919a0-e042-4f21-9ae1-b1a47abf8dc6	Saas-Almagell	Saas Valley		https://www.saas-fee.ch	2347	1684		7	15.4	12-19	04-04	Small local Heidbodme area; operating company name unconfirmed
28c56f6f-ecdd-4b64-8709-bf588230d2ea	Crans-Montana		Crans-Montana Aminona SA (CMA)	https://www.crans-montana.ch	2927	1510		24	140	11-28	04-04	
46b0c7c5-2899-4507-9f87-65e36f2c3cde	Leukerbad		My Leukerbad AG	https://leukerbad.ch	2610	1411		13	47.5	12-05	04-11	Torrent-Bahnen area; separate Gemmi-Bahnen AG runs the Gemmi cable car
c8c3de47-8ec3-45c3-9a3b-647d96f880c5	Grimentz	Val d'Anniviers	Remontées Mécaniques de Grimentz-Zinal SA	https://www.valdanniviers.ch	2900	1570		21	115	11-28	04-18	Shared combined Grimentz-Zinal ski area
b2b8ceb0-4b0f-455c-8d32-7dcc413e82f8	Zinal	Val d'Anniviers	Remontées Mécaniques de Grimentz-Zinal SA	https://www.valdanniviers.ch	2900	1675		21	115	11-28	04-18	Shared combined Grimentz-Zinal ski area
e4cd30a7-5578-45d7-98fd-278f3ae0163b	Vercorin	Val d'Anniviers	Télécabine de Vercorin SA	https://www.vercorin.ch	2374	1340		10	35	11-28	04-18	Independent area, not lift-connected to Grimentz-Zinal
a5a714f8-1e4e-4e6c-8812-b964f677e3f5	St-Luc	Val d'Anniviers	Funiculaire St-Luc - Chandolin SA	https://www.stluc-chandolin.ch	3000	1680	31	15	60	12-18	04-11	Shared St-Luc/Chandolin domain; figures are domain-wide
74e2b3bc-8e84-4396-81ca-108bd09cd774	Chandolin	Val d'Anniviers	Funiculaire St-Luc - Chandolin SA	https://www.stluc-chandolin.ch	3000	1936	31	15	60	12-18	04-11	Shared St-Luc/Chandolin domain; figures domain-wide, base = Chandolin village 1936 m
32765e7a-1146-466a-9c07-1efbdac7958f	Arolla		Remontées Mécaniques des Fontanesses SA	https://www.evolene-region.ch	2877	1984	17	6	26.7	12-12	04-18	Espace Dent-Blanche is a shared PASS, not a connected domain; figures are Arolla only
18fbdc9c-531d-41a0-93ac-7ac24b11c99c	Les Haudères	Val d'Hérens	Evolène Région Tourisme	https://www.evolene-region.ch	1447	1441	1	1	0.1	12-13	03-15	Only lift is the Homazo baby lift; the real nearby area is La Forclaz/La Sage
2a79226c-eeb3-4df1-8bee-54c6fa00618a	Evolène	Val d'Hérens	Télé-Evolène SA	https://www.evolene-region.ch	2632	1404	15	5	41.1	12-19	03-21	Lannaz-Chemeuille sector of Espace Dent-Blanche; not lift-connected to Arolla
f5d9412f-3d79-4c20-9e42-9d9d7feda5f1	Riederalp	Aletsch Arena	Aletsch Bahnen AG	https://www.aletscharena.ch	2869	1925		35	104	12-05	04-03	Sector of the connected Aletsch Arena domain; run count not published by operator
60794e7d-402d-495b-831d-cc878b7c6477	Bettmeralp	Aletsch Arena	Aletsch Bahnen AG	https://www.aletscharena.ch	2869	1948		35	104	12-05	04-03	Sector of the connected Aletsch Arena domain; run count not published by operator
35f6b0c1-5872-4000-b2a5-31fda7be73f0	Fiescheralp	Aletsch Arena	Aletsch Bahnen AG	https://www.aletscharena.ch	2869	2212		35	104	12-05	04-03	Sector of the connected Aletsch Arena domain; Eggishorn cableway starts here
ef6b7fb9-2000-4069-ad5b-cdff0cf340c8	Turtmann	Turtmanntal										NOT_A_SKI_RESORT - side valley; the Turtmann-Unterems-Oberems cableway is public transport, no pistes
2cc5cc84-b1c9-4c0d-a75e-7e67954ce5c9	Brig	Simplon north										NOT_A_SKI_RESORT - Rhône valley town (~680 m), rail/road gateway, no lifts
078312df-9387-40f0-9cda-ee228789efd7	Simplon village	Simplon south										NOT_A_SKI_RESORT - Simplon Dorf has no lifts; nearest area is Rothwald/Wasenalp
9eb3d919-1c3e-48c1-86d8-cf821f3c213f	Reckingen	Goms	Skilift Gluringen AG	https://www.skilift-gluringen.ch	1445	1333		2	1.2			Village beginner lift (stands at Gluringen); season dates not published. Goms is mainly cross-country
36503a41-8ed0-492d-af8a-0a4ce135223e	Münster	Goms	Skilift Münster-Geschinen AG	https://www.skilift-muenster-geschinen.ch	1645	1363		2	3	12-13	03-22	Small beginner/family area with lifts at Münster and Geschinen
605263a8-d26e-449a-80f5-335283234d78	Ulrichen	Goms										NOT_A_SKI_RESORT - cross-country/biathlon hub, no alpine lifts
34361709-215a-48a6-a0e6-336836d97c76	Obergoms	Goms upper	Skilift Oberwald	https://www.goms.ch	1404	1373		1	0.2			Municipality (Oberwald/Obergesteln/Ulrichen); only the village Skilift Oberwald. Hungerberg closed 2009
b145ab2a-3baf-44f0-b29e-11f4d9fe1fdf	Binntal											NOT_A_SKI_RESORT - nature park valley; only a ~300 m village drag lift at Binn
e1b57e17-6684-4e16-94e3-a613fea77165	Champéry	Portes du Soleil	Portes du Soleil Suisse SA	https://www.regiondentsdumidi.ch	2254	1050	286	196	600	12-15	04-15	Domain-wide Portes du Soleil (CH+FR) figures; local Planachaux sector tops ~2277 m
8fabb954-402d-4c37-90f4-e95eeb704e82	Morgins	Portes du Soleil	Portes du Soleil Suisse SA	https://www.regiondentsdumidi.ch	2254	1350	286	196	600	12-15	04-15	Domain-wide Portes du Soleil figures; local La Foilleuse sector tops ~2000 m
19603044-00c3-4f50-8d52-484d27f52b24	Torgon		SETT Sàrl	https://www.torgon.ch	2254	1085	286	196	600	12-15	04-15	Domain-wide Portes du Soleil figures; Torgon sector is small (~4 lifts). Télé-Torgon SA went bankrupt, lifts bought by SETT Jan 2025
633a764c-08e0-4fcf-b69b-da70de27c3e0	Mountet	Zinal hut										NOT_A_SKI_RESORT - Cabane du Grand Mountet, SAC mountaineering hut at 2886 m
3d54498b-b60d-4908-bd1c-860491ab0669	Monte Rosa	Zermatt high										NOT_A_SKI_RESORT - glacier/massif above Zermatt, touring terrain; lift access via Zermatt Bergbahnen
cdc7103d-85c9-45c4-8914-1821ab1f5b00	Mattmark	Saas high										NOT_A_SKI_RESORT - reservoir and dam above Saas-Almagell, road closed in winter
d2358429-765b-40be-b998-02c6cfe164df	Stalden	untere Vispertäler										NOT_A_SKI_RESORT - valley village (~800 m) at the Matter/Saas junction, no lifts
fd2b3960-7d91-4359-883e-8bb3afba4e88	Fully	Isérables										NOT_A_SKI_RESORT - Rhône valley wine commune (~460 m), no ski area
2d7b1d1c-545d-4bc1-83fc-6eefdd1acadf	Nendaz lower	Sion area										NOT_A_SKI_RESORT - Basse-Nendaz sits below the ski area; lifts start at Haute-Nendaz/Siviez
d939a001-6e76-414b-8487-ed1de9ab8ca5	Goms	Münster-Goms	Skilift Münster-Geschinen AG	https://www.skilift-muenster-geschinen.ch	1645	1363		2	3	12-20	03-23	Goms is primarily cross-country (~100 km loipe); figures are its one small alpine area. Duplicates the Münster row
bb1be8b8-66a6-42b7-99da-1fd35c1e2a81	Génépy											NOT_A_SKI_RESORT - no lift-served area under this name; high alpine terrain
8b338bc5-43c6-427d-8c14-6e29913f303a	Val d'Entremont	Grand-St-Bernard	Télés Vichères-Liddes	https://vicheres.ch	2267	1595		4	15	12-15	03-25	Vichères-Liddes is the only lift-served area in Val d'Entremont; Grand-St-Bernard pass has none
1e056210-9479-4673-a6c3-368e7c15f1bb	St. Moritz	Upper Engadin	Engadin St. Moritz Mountains AG	https://www.stmoritz.com	3057	1772		23	155	11-28	04-04	Corviglia-Marguns-Piz Nair sector; village 1822 m, lift base 1772 m
5832b6be-1241-4d7d-8dcf-5109f49d9cd6	Pontresina	Upper Engadin	Diavolezza Lagalb AG	https://www.pontresina.ch	3006	2093		5	35	10-17	05-02	Pontresina village (1805 m) has no area of its own; its skiing is Diavolezza + Lagalb in Val Bernina
4b0941b3-4293-4343-896a-03cd606bd744	Sils-Maria	Upper Engadin	Corvatsch AG	https://www.corvatsch-diavolezza.ch	3303	1797	26	14	120	11-21	04-25	Village on the shared Corvatsch/Furtschellas domain; Furtschellas cable car departs Sils
9cf90fc9-46b0-4ce3-bf4c-5dc9cabd2374	Silvaplana	Upper Engadin	Corvatsch AG	https://www.corvatsch-diavolezza.ch	3303	1815	26	14	120	11-21	04-25	Shared Corvatsch/Furtschellas domain; lift base at Surlej 1870 m
40e0a460-49ee-4a24-8708-9ec545445088	Celerina	Upper Engadin	Engadin St. Moritz Mountains AG	https://www.mountains.ch	3057	1730	38	24	155	11-28	04-04	Own lift into the Corviglia/Marguns domain shared with St. Moritz
